# Cyanide Concentration,coordinate,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
80,8,169.5014815,174.5646914,194.8975309,7.996874252,7.52766996,6.474002622,114.1535802,33.32617284,194.8975309,1.364675432,3.751415393,6.474002622,182.4171605,130.2153086,116.9617284,7.119885339,0.718752497,0.977912604,175.4808642,7.489746357
80,9,161.1544444,166.7761728,190.6830864,6.818763057,6.936459421,6.674287152,114.3432099,39.55061728,190.6830864,1.136915719,2.009552708,6.674287152,175.2650617,131.0641975,115.1123457,6.540150567,0.686610685,0.45375871,167.9448148,6.849892603
90,2,168.1107407,170.9912346,191.1759259,7.076527585,7.139166684,6.561920691,116.2932099,30.82111111,191.1759259,1.530941232,2.591243326,6.561920691,179.4654321,131.1411111,117.3653086,6.719892351,0.721427768,0.762229651,172.4162963,6.973443885
90,3,151.0064198,156.5681481,178.3048148,6.165411946,6.547937025,5.901374732,113.9244444,39.0917284,178.3048148,1.12204399,2.320303455,5.901374732,165.3924691,130.5045679,116.0461728,6.174392964,0.764395266,0.70821732,157.5132099,6.316210641
90,4,181.9461728,184.4955556,200.1932099,5.013494523,4.941120481,4.530181728,115.695679,23.25518519,200.1932099,1.751078989,1.939057052,4.530181728,191.8624691,130.0620988,119.6797531,4.525630583,0.513973185,0.469209936,185.5512346,4.832755236
90,5,184.9023457,187.5195062,202.9611111,5.600460248,5.579303886,5.088485549,115.5030864,22.71012346,202.9611111,1.650698425,1.922940453,5.088485549,194.6808642,130.0267901,119.7918519,5.190376113,0.47495114,0.41381427,188.544321,5.480032089
90,6,166.0096296,173.2276543,192.4398765,6.890817372,6.884803497,6.202306619,111.9462963,35.08555556,192.4398765,1.017479268,2.390043907,6.202306619,180.6167901,129.1779012,117.2664198,6.426608619,0.577419154,0.782767027,173.3092593,6.728989299
90,7,161.5706173,168.2759259,186.5195062,5.946454561,5.97619047,5.424406641,112.1217284,34.14925926,186.5195062,1.007623766,2.526123893,5.424406641,176.0337037,129.315679,117.7579012,5.587218647,0.536081895,0.912211011,168.4377778,5.881962803
90,8,168.417284,175.4048148,194.4520988,5.290937748,5.314429603,5.196727535,112.1066667,34.16222222,194.4520988,0.728760151,1.483607549,5.196727535,182.7001235,129.142963,117.4769136,4.981776666,0.411028353,0.669870343,175.4916049,5.258108719
90,9,166.6891358,176.1654321,193.7125926,6.032537741,5.714572243,5.170224767,109.7058025,35.63246914,193.7125926,1.59350252,3.017415717,5.170224767,182.9391358,128.1174074,117.7965432,5.398959593,0.680172959,0.71979963,175.2650617,5.636542067
100,2,183.6048148,184.9369136,203.0811111,4.926922915,4.779337767,4.530578003,117.7150617,24.49962963,203.0811111,0.874774219,1.715182706,4.530578003,192.8022222,131.0137037,118.8335802,4.499261393,0.391495848,0.470311976,186.752963,4.822794115
100,3,167.4258025,169.1935802,187.2834568,5.044596269,4.926652962,4.672921512,117.2964198,27.03283951,187.2834568,1.311642838,2.035344018,4.672921512,177.8909877,130.8617284,118.7591358,4.68752932,0.584061535,0.505167611,170.8183951,4.934507607
100,4,181.1890123,182.8339506,197.9623457,5.084879815,5.006460808,5.005743805,116.734321,21.77802469,197.9623457,2.033917911,0.804837871,5.005743805,190.4490123,130.1374074,120,4.6129975,0.37746156,0,183.9623457,5.005743805
100,5,183.2438272,185.9411111,201.031358,5.425516319,5.382446435,5.275239566,115.2903704,22.58814815,201.031358,1.711942399,1.52882034,5.275239566,193.1583951,129.9448148,119.9282716,4.98649756,0.409807576,0.266973389,186.8851852,5.361697978
100,6,173.7467901,180.8917284,198.5588889,6.577305412,6.119025641,5.528097813,111.5833333,31.9237037,198.5588889,0.897097515,2.787601493,5.528097813,187.8069136,128.962963,118.1622222,5.82406685,0.36326518,0.683928377,180.8464198,6.20032801
100,7,168.287037,172.9511111,193.4135802,5.259789684,5.393853841,4.965691007,114.4382716,33.17481481,193.4135802,1.529307751,2.150235767,4.965691007,181.0291358,130.3617284,116.9058025,5.091594671,0.803551976,0.666771037,174.0274074,5.262280353
100,8,181.7374074,185.6882716,201.3275309,5.77701347,5.58191398,5.176013775,114.1383951,24.84160494,201.3275309,2.439638182,2.392472226,5.176013775,192.7706173,129.6824691,119.5274074,5.189136408,0.661396821,0.516746177,186.3685185,5.540189552
100,9,167.3265432,175.1612346,191.4693827,6.702342443,6.527580873,6.180049611,110.5041975,32.21382716,191.4693827,1.450621718,2.473505319,6.180049611,182.1892593,128.611358,118.647037,6.20333309,0.628397439,0.600810038,174.7628395,6.555512379
